account,destination,asset,amount,transaction_hash
GCNBI2AXJPGOTR4T2DOBJ4GDVYHKQCHAJ7DO4PA7C4EDW53NDKXUVHYQ,GCNBI2AXJPGOTR4T2DOBJ4GDVYHKQCHAJ7DO4PA7C4EDW53NDKXUVHYQ,XLM,13740.3736698,debb76a7bcc37fc03441e38914a02438a451c682703051e4707cdea03ff5e83c
GBWN3I4L6KABFSSJB6WHRXT5CQGW3PY5RG3QCGKGQVGSR7QEJMOQJBEV,GBWN3I4L6KABFSSJB6WHRXT5CQGW3PY5RG3QCGKGQVGSR7QEJMOQJBEV,XLM,11710.4325166,8edaafe7d9a1b8bbde55304d377e35eb8158574387a442dc8aee855fb103059b
GABNGXVFO5LPSDJRT4NDBLS25H6TUJXPMWD5MP3GSOZ7S22SA7JWF7KX,GABNGXVFO5LPSDJRT4NDBLS25H6TUJXPMWD5MP3GSOZ7S22SA7JWF7KX,XLM,10496.9663523,2fecef92a9eae02e77032a788c8b7810b7642fa1833b4fb91220d313f3cb18c4
GCB2NJ22PJVDRQ4WNGYD2TC2LITRULHGLG5TG6NWBIPQO64JE7OS465W,GCB2NJ22PJVDRQ4WNGYD2TC2LITRULHGLG5TG6NWBIPQO64JE7OS465W,XLM,8923.5700135,3cd191561e1df0df2b0b7b19b2622ceac3b4a669b467947909456d7fd4ab957d
GA3UFLITGVWIS5TI42VIOEH5KFPGJDSU77P6OJL3M2M5OD3UKJHUCVBI,GA3UFLITGVWIS5TI42VIOEH5KFPGJDSU77P6OJL3M2M5OD3UKJHUCVBI,XLM,7870.3248102,ac7693205290c96ff5abcf43d64a5668d6af3aa50f09daefcf159e09203a682d
GDNREBWS4RV6TJIG67D7GENUYXXALGIECEODEOY5HRYMEWBGJGQTXUHW,GDNREBWS4RV6TJIG67D7GENUYXXALGIECEODEOY5HRYMEWBGJGQTXUHW,XLM,6955.1077539,89b1adb4915b1cdbea400abd1e2e9a2b26831320544fc32bfc6057ef9dd39ba6
GDEUQWHIBXZTP6GJRHOWTZ5VMTSLFKLHYNFSGAH6KUJYPKIG5ZQVB53V,GDEUQWHIBXZTP6GJRHOWTZ5VMTSLFKLHYNFSGAH6KUJYPKIG5ZQVB53V,XLM,6309.3420489,21864c02103ee1f545fb4ae842326d012faae2f20885dc4c97f7bc942f14d6a0
GBY2DK522STEPS7LXKAVLERU4Q5JYS7D6WL6HGDEQ5HCNOFJHZRAMSTR,GBY2DK522STEPS7LXKAVLERU4Q5JYS7D6WL6HGDEQ5HCNOFJHZRAMSTR,XLM,6298.2796513,7f40511236faff9567c7d7ebfe3c7f4ce0e54d65a66a03f3faa4148816169943
GCWVUIRHWTRL2VJLX2DXL5M2MGCLJCJ2FMLPPC2HWJZQTD772B5BBYV4,GCWVUIRHWTRL2VJLX2DXL5M2MGCLJCJ2FMLPPC2HWJZQTD772B5BBYV4,XLM,6127.8869983,98eee66db72388f0d926dd263c75b664a5777a16a5ab7afce89d6a806eb41409
GDJSH2NU2WF6J4P5DL4522DUCABWSTZOKFQ7BHBCFYQ3QKC6FRYWP6OL,GDJSH2NU2WF6J4P5DL4522DUCABWSTZOKFQ7BHBCFYQ3QKC6FRYWP6OL,XLM,6066.7654092,70c3f0c47be893c0c019c45b143201d8e58a8283fb82b3f0e56e9b5acd38a62f
GDIN2PRQM7OPZC47BEWQ4WS72FFRHYWBJZR6FCDG755LMN2S4EAMZJJJ,GDIN2PRQM7OPZC47BEWQ4WS72FFRHYWBJZR6FCDG755LMN2S4EAMZJJJ,XLM,5511.5954225,c474155776e11998aed762bc0a0c9bcca8d92e8d967be889b5826533e795da35
GBIIUZH63Z262QXGKJIP3ZU5DS7L4L2TBTYGPXRIGQXZAF25A72YNULL,GBIIUZH63Z262QXGKJIP3ZU5DS7L4L2TBTYGPXRIGQXZAF25A72YNULL,XLM,5248.4802984,2285dc0ddbd03702266fb6efff61d580ba40eae2baf2bf431843420f2bb5edac
GC2MYUXTFAINLGN3OSBLMKXIU4NH5GVSFYOVHSZMMZHQSILM7GFND633,GC2MYUXTFAINLGN3OSBLMKXIU4NH5GVSFYOVHSZMMZHQSILM7GFND633,XLM,4705.3167281,5e8ce6397cc9d2e10105d10ff27eea9322276e5472c55fe82d880b6c9a29a35e
